position,source_kind,video_id,title,url,duration_seconds,duration
44,short,63SwHTVw82I,Упрощаю Blender | Топ 3 аддонов #blender #addons,https://www.youtube.com/watch?v=63SwHTVw82I,0.0,00:00
45,short,Zo1uUwUIjDI,Зачем моделить авто в Blender 3D? #blender,https://www.youtube.com/watch?v=Zo1uUwUIjDI,0.0,00:00
46,short,RBolbabR_c8,Фатальные ошибки новичков в BLENDER #blender,https://www.youtube.com/watch?v=RBolbabR_c8,0.0,00:00
47,short,VG8gK7JXimg,Анимация и лианы в Blender | Топ 3 аддонов #blender #addons,https://www.youtube.com/watch?v=VG8gK7JXimg,0.0,00:00
48,short,fy9Ktp8WtU8,Обновление BLENDER 5.0 #blender,https://www.youtube.com/watch?v=fy9Ktp8WtU8,0.0,00:00
49,short,bYyE3QsK6qE,Города и туман в Blender | Топ 3 аддонов #blender #addons,https://www.youtube.com/watch?v=bYyE3QsK6qE,0.0,00:00
50,short,6gdzCQvcKXg,Фатальные ошибки новичков в BLENDER #blender,https://www.youtube.com/watch?v=6gdzCQvcKXg,0.0,00:00
51,short,PfQE5fzR_WE,Укрощение камеры в Blender | Топ 3 аддонов #blender #addons,https://www.youtube.com/watch?v=PfQE5fzR_WE,0.0,00:00
52,short,S8ydlb7ZMl4,Камень из куба в Blender | Топ 3 аддонов #blender #addons,https://www.youtube.com/watch?v=S8ydlb7ZMl4,0.0,00:00
53,short,br_S9ZiB644,Фатальные ошибки новичков в BLENDER #blender,https://www.youtube.com/watch?v=br_S9ZiB644,0.0,00:00
54,short,J6M7FVDqD7I,Дома в Blender | Топ 3 аддонов #blender #addons,https://www.youtube.com/watch?v=J6M7FVDqD7I,0.0,00:00
55,short,VO_0mw_rYk8,Волосня в BLENDER | Фатальные ошибки #blender,https://www.youtube.com/watch?v=VO_0mw_rYk8,0.0,00:00
56,short,OkWlo7DSkJg,Трава в Blender | Топ 3 аддонов #blender #addons,https://www.youtube.com/watch?v=OkWlo7DSkJg,0.0,00:00
57,short,IcxqCp3lW9k,Скрытые функции в BLENDER #blender,https://www.youtube.com/watch?v=IcxqCp3lW9k,0.0,00:00
58,short,pKtSQaCPwXk,Genshin теперь в Blender | Топ 3 аддонов #blender #addons,https://www.youtube.com/watch?v=pKtSQaCPwXk,0.0,00:00
59,short,NOUFi0hcV9w,Фатальные ошибки новичков в BLENDER #blender,https://www.youtube.com/watch?v=NOUFi0hcV9w,0.0,00:00
60,short,a50wnyWioVM,Упрощаю Blender | Топ 3 аддонов #blender #addons,https://www.youtube.com/watch?v=a50wnyWioVM,0.0,00:00
61,short,7rIxqWyix3Q,Фатальные ошибки анимации в BLENDER #blender,https://www.youtube.com/watch?v=7rIxqWyix3Q,0.0,00:00
62,short,uFC0uX9ZmOs,Одежда в Blender | Топ 3 аддонов #blender #addons,https://www.youtube.com/watch?v=uFC0uX9ZmOs,0.0,00:00
63,short,oF3YktDtmMs,Новый аддон для 3D трекинга в BLENDER #blender,https://www.youtube.com/watch?v=oF3YktDtmMs,0.0,00:00
64,short,bv69HaUp3yo,Мнем кота в BLENDER #blender,https://www.youtube.com/watch?v=bv69HaUp3yo,0.0,00:00
65,short,wj5lwtQGmnI,Дикий ТОП аддонов для Blender #blender #addons,https://www.youtube.com/watch?v=wj5lwtQGmnI,0.0,00:00
66,short,Ipkze1Nfitw,Фатальные ошибки новичков в BLENDER #blender,https://www.youtube.com/watch?v=Ipkze1Nfitw,0.0,00:00
67,short,YkTKz-b1IGI,Топ полезных аддонов для Blender #blender #addons,https://www.youtube.com/watch?v=YkTKz-b1IGI,0.0,00:00
68,short,Heqed0Mu_iQ,Управление телефоном в Blender #blender,https://www.youtube.com/watch?v=Heqed0Mu_iQ,0.0,00:00
69,short,-52atAJ2a2U,Фишки обновления Blender 4.5 #blender,https://www.youtube.com/watch?v=-52atAJ2a2U,0.0,00:00
70,short,D2TseFz9ESM,Топ крутых аддонов для Blender #blender #addons,https://www.youtube.com/watch?v=D2TseFz9ESM,0.0,00:00
71,short,MgAO4lgtkiI,Лайфхаки с камерой в Blender #blender,https://www.youtube.com/watch?v=MgAO4lgtkiI,0.0,00:00
72,short,9uCmeGcCKxQ,Топ полезных аддонов для Blender #blender #addons,https://www.youtube.com/watch?v=9uCmeGcCKxQ,0.0,00:00
73,short,ELbRLFYjsvo,Аддон c котом в Blender #blender #addons,https://www.youtube.com/watch?v=ELbRLFYjsvo,0.0,00:00
74,short,FtJd0wmcTUQ,Паук в Blender с риггингом и анимацией #blender,https://www.youtube.com/watch?v=FtJd0wmcTUQ,0.0,00:00
75,short,SZTu3TMvneU,Фатальные ошибки новичков в BLENDER #blender,https://www.youtube.com/watch?v=SZTu3TMvneU,0.0,00:00
76,short,uKL8XDr6o28,Аддоны для физики в Blender #blender #addons,https://www.youtube.com/watch?v=uKL8XDr6o28,0.0,00:00
77,short,GUdQvlo3ANE,Простой 3D Трекинг в Blender и AE #blender,https://www.youtube.com/watch?v=GUdQvlo3ANE,0.0,00:00
78,short,gmeqnk8oxqo,Аддоны для анимаций в Blender #blender #addons,https://www.youtube.com/watch?v=gmeqnk8oxqo,0.0,00:00
79,short,MEnbuvD-M3g,Запекание в Blender это ПРОСТО! #blender,https://www.youtube.com/watch?v=MEnbuvD-M3g,0.0,00:00
80,short,jSkRjW1zmxI,Топ аддонов для лысых в Blender #blender #addons,https://www.youtube.com/watch?v=jSkRjW1zmxI,0.0,00:00
81,short,cyz_V8J0-PQ,ТУН ТУН ТУН за 1 час! В BLENDER 3D #blender,https://www.youtube.com/watch?v=cyz_V8J0-PQ,0.0,00:00
82,short,ukxepXJOqXc,"Топ аддонов для ""долбежки"" моделей в Blender #blender #addons",https://www.youtube.com/watch?v=ukxepXJOqXc,0.0,00:00
83,short,0Jrgm9rPqpE,Топ фишек в BLENDER #blender,https://www.youtube.com/watch?v=0Jrgm9rPqpE,0.0,00:00
84,short,Ip3aHlgj0-4,Полезные аддоны для BLENDER #blender,https://www.youtube.com/watch?v=Ip3aHlgj0-4,0.0,00:00
85,short,ilqX1FgfcL4,Гайды для новичков в BLENDER #blender3d,https://www.youtube.com/watch?v=ilqX1FgfcL4,0.0,00:00
86,short,BUOWAELJYWo,Аддоны для всего! (Blender) #blender #addons,https://www.youtube.com/watch?v=BUOWAELJYWo,0.0,00:00
87,short,RGke93XQdrQ,Топ фишек в BLENDER #blender,https://www.youtube.com/watch?v=RGke93XQdrQ,0.0,00:00
88,short,sWNQ1sHCELY,Топ 3 лучших аддонов для Blender #blender #addons,https://www.youtube.com/watch?v=sWNQ1sHCELY,0.0,00:00
89,short,Fhc3_u7kNZc,Обновление Blender 4.4 #blender,https://www.youtube.com/watch?v=Fhc3_u7kNZc,0.0,00:00
90,short,akyLP0Jqz64,Идеальные модельки в Blender #blender,https://www.youtube.com/watch?v=akyLP0Jqz64,0.0,00:00
91,short,qtliVoopEdg,Фатальные ошибки новичков в BLENDER #blender,https://www.youtube.com/watch?v=qtliVoopEdg,0.0,00:00
92,short,d_F06saX1HY,Первая версия Blender 1.0 #blender,https://www.youtube.com/watch?v=d_F06saX1HY,0.0,00:00
93,short,3GPYwG-RQdU,Полезные аддоны для Blender #blender #addons,https://www.youtube.com/watch?v=3GPYwG-RQdU,0.0,00:00
94,short,JLglRfOZtGg,Топ Аддонов для Blender #blender #addons,https://www.youtube.com/watch?v=JLglRfOZtGg,0.0,00:00
95,short,xQo5bAw-xJE,Анимация и RIG авто в BLENDER просто! #blender,https://www.youtube.com/watch?v=xQo5bAw-xJE,0.0,00:00
96,short,p_8rgT3e1Hc,Фатальные ошибки новичков в BLENDER #blender,https://www.youtube.com/watch?v=p_8rgT3e1Hc,0.0,00:00
97,short,sDeAgPFTrq4,Аддоны для Blender #blender #addons,https://www.youtube.com/watch?v=sDeAgPFTrq4,0.0,00:00
98,short,UCegsTRP_ZQ,Ам Ням в Blender 3D #blender,https://www.youtube.com/watch?v=UCegsTRP_ZQ,0.0,00:00
99,short,7yz11GiSICk,Как сделать 2д рендер в Blender #blender,https://www.youtube.com/watch?v=7yz11GiSICk,0.0,00:00
100,short,ipsM6qkaDzA,Полезные аддоны для Blender #blender #addons,https://www.youtube.com/watch?v=ipsM6qkaDzA,0.0,00:00
101,short,GLbO-PaxhtY,Как сделать монитор из старого iPad #blender,https://www.youtube.com/watch?v=GLbO-PaxhtY,0.0,00:00
102,short,lV60JmMzCek,Топ 3 аддонов для Blender #blender #addons,https://www.youtube.com/watch?v=lV60JmMzCek,0.0,00:00
103,short,b_YN3yg7MHw,Анимация паука в Blender #blender,https://www.youtube.com/watch?v=b_YN3yg7MHw,0.0,00:00
104,short,4Jik8JalLiE,Обоюдные аддоны для Blender #blender #addons,https://www.youtube.com/watch?v=4Jik8JalLiE,0.0,00:00
105,short,UaBKW0ytxoY,Своя комната в Blender #blender,https://www.youtube.com/watch?v=UaBKW0ytxoY,0.0,00:00
106,short,WaMdeafgWYs,Лучшие аддоны для Blender #blender #addons,https://www.youtube.com/watch?v=WaMdeafgWYs,0.0,00:00
107,short,v5CW1hTDJ0c,Полезные аддоны для Blender #blender #addons,https://www.youtube.com/watch?v=v5CW1hTDJ0c,0.0,00:00
108,short,8IIX6Mfta_o,Топ нужных аддонов для Blender #blender #addons,https://www.youtube.com/watch?v=8IIX6Mfta_o,0.0,00:00
109,short,qhAmNpLSaws,Когда крашнулся Blender #blender #addons,https://www.youtube.com/watch?v=qhAmNpLSaws,0.0,00:00
110,short,9Lt1NrTKRa4,Топ аддонов для домов в Blender #blender #addons,https://www.youtube.com/watch?v=9Lt1NrTKRa4,0.0,00:00
111,short,cB8Im9LAq1o,Подсолнух из Plants VS Zombies в Blender 3D #blender,https://www.youtube.com/watch?v=cB8Im9LAq1o,0.0,00:00
112,short,tDc04by68Rs,Топ 3 аддонов для Blender #blender #addons,https://www.youtube.com/watch?v=tDc04by68Rs,0.0,00:00
113,short,D70oeIOg23o,Обновление Blender 4.3 #blender,https://www.youtube.com/watch?v=D70oeIOg23o,0.0,00:00
114,short,MCosgbR0NzI,Подборка аддонов для Blender #blender #addons,https://www.youtube.com/watch?v=MCosgbR0NzI,0.0,00:00
115,short,Ccayarl2HKA,Топ аддон для Blender и Substance painter #blender #addons,https://www.youtube.com/watch?v=Ccayarl2HKA,0.0,00:00
116,short,0bwyw3vy7hY,Реалистичный свет в Blender #blender,https://www.youtube.com/watch?v=0bwyw3vy7hY,0.0,00:00
117,short,lNSdFEU5zQE,Сборка аддонов для Blender #blender #addons,https://www.youtube.com/watch?v=lNSdFEU5zQE,0.0,00:00
118,short,LKCnGRdXyCE,Физика ткани в Blender для интерьера #blender,https://www.youtube.com/watch?v=LKCnGRdXyCE,0.0,00:00
119,short,4QsslVcswgc,Аддон с нейронкой для Blende #blender #addons,https://www.youtube.com/watch?v=4QsslVcswgc,0.0,00:00
120,short,MUAp0IWJPEs,Спидран по Blender 3D #blender,https://www.youtube.com/watch?v=MUAp0IWJPEs,0.0,00:00
121,short,82TRY4y1gXE,Аддоны для Blender для простой жизни #blender #addons,https://www.youtube.com/watch?v=82TRY4y1gXE,0.0,00:00
122,short,-pURcXWTUV0,Растения для Blender #blender #addons,https://www.youtube.com/watch?v=-pURcXWTUV0,0.0,00:00
123,short,BV7w2b3BItY,Аддоны для Blender для упрощения жизни #blender #addons,https://www.youtube.com/watch?v=BV7w2b3BItY,0.0,00:00
124,short,I8G9aZBxPok,Пейзаж и растения в BLENDER Просто! #blender,https://www.youtube.com/watch?v=I8G9aZBxPok,0.0,00:00
125,short,grh5GtFakSM,Основные ошибки в Blender #blender,https://www.youtube.com/watch?v=grh5GtFakSM,0.0,00:00
126,short,ggwOqONDcdE,Базовые ADDONS для Blender 3D #blender,https://www.youtube.com/watch?v=ggwOqONDcdE,0.0,00:00
127,short,0mSSv9uZQ0E,Основные ADDONS для Blender 3D #blender,https://www.youtube.com/watch?v=0mSSv9uZQ0E,0.0,00:00
128,short,cXlxM7fQybU,Трекинг в Blender #blender,https://www.youtube.com/watch?v=cXlxM7fQybU,0.0,00:00
129,short,sTHQ3Yl1kQs,Базовые ошибки в BLENDER  #blender,https://www.youtube.com/watch?v=sTHQ3Yl1kQs,0.0,00:00
130,short,v0TdPJv1uGw,"Аддоны для BLENDER, которые все изменят #blender",https://www.youtube.com/watch?v=v0TdPJv1uGw,0.0,00:00
131,short,8FRQDWucQBg,Подборка полезных аддонов для BLENDER #blender,https://www.youtube.com/watch?v=8FRQDWucQBg,0.0,00:00
132,short,xVP5MIK2nYI,Сканирование в BLENDER ПРОСТО! #blender,https://www.youtube.com/watch?v=xVP5MIK2nYI,0.0,00:00
133,short,1k144TNB3bI,BLENDER не для слабонервных #blender,https://www.youtube.com/watch?v=1k144TNB3bI,0.0,00:00
134,short,_ZXBv5j-KH8,Фатальные ошибки новичков в BLENDER #blender,https://www.youtube.com/watch?v=_ZXBv5j-KH8,0.0,00:00
135,short,NRXgdoocmBM,Топ 3 аддонов для BLENDER #blender,https://www.youtube.com/watch?v=NRXgdoocmBM,0.0,00:00
136,short,NhlqUJRxBwo,Топ крутых аддонов для Blender 3D #blender,https://www.youtube.com/watch?v=NhlqUJRxBwo,0.0,00:00
137,short,k0HyJ9_Vczs,"Пряня из ""Шрек"" в Blender 3D #blender",https://www.youtube.com/watch?v=k0HyJ9_Vczs,0.0,00:00
138,short,3HnVcGn_e9g,Топ 3 аддонов для BLENDER #blender,https://www.youtube.com/watch?v=3HnVcGn_e9g,0.0,00:00
139,short,Qtvsy0HhneM,Фатальные ошибки в BLENDER #blender,https://www.youtube.com/watch?v=Qtvsy0HhneM,0.0,00:00
140,short,t1iL-VlOt18,Набор аддонов для BLENDER #blender,https://www.youtube.com/watch?v=t1iL-VlOt18,0.0,00:00
141,short,VAlhrx7eni8,Новый BLENDER 4.2 стал лучше? #blender,https://www.youtube.com/watch?v=VAlhrx7eni8,0.0,00:00
142,short,76czTtc3Tu8,Полезные аддоны для BLENDER #blender,https://www.youtube.com/watch?v=76czTtc3Tu8,0.0,00:00
143,short,1-FstUy3Tf0,Вода и капли в BLENDER ПРОСТО! #blender,https://www.youtube.com/watch?v=1-FstUy3Tf0,0.0,00:00
144,short,RgQa0uZth3I,"Бимо из ""Время приключений"" в Blender 3D #blender",https://www.youtube.com/watch?v=RgQa0uZth3I,0.0,00:00
145,short,jwii_ri6xaU,Подборка аддонов для BLENDER #blender,https://www.youtube.com/watch?v=jwii_ri6xaU,0.0,00:00
146,short,6fUbz3-v7NQ,Фатальные ошибки новичков в BLENDER #blender,https://www.youtube.com/watch?v=6fUbz3-v7NQ,0.0,00:00
147,short,RUklAwciH14,"Аддоны для BLENDER ""...Админки, х....."" #blender",https://www.youtube.com/watch?v=RUklAwciH14,0.0,00:00
148,short,_hxnSgq5jig,"Аддоны для BLENDER ""на черный день"" #blender",https://www.youtube.com/watch?v=_hxnSgq5jig,0.0,00:00
149,short,u9n5PJZMzLU,Тот самый критик в BLENDER #blender,https://www.youtube.com/watch?v=u9n5PJZMzLU,0.0,00:00
150,short,4s2_7rjWrNY,Трекинг в Blender ПРОСТО! #blender,https://www.youtube.com/watch?v=4s2_7rjWrNY,0.0,00:00
151,short,LoGjUIZG7tM,Топ 3 крутых аддонов для BLENDER 2ч. #blender,https://www.youtube.com/watch?v=LoGjUIZG7tM,0.0,00:00
152,short,Z_FYNvjPLEI,Ошибки новичков в BLENDER #blender,https://www.youtube.com/watch?v=Z_FYNvjPLEI,0.0,00:00
